age,father_education,mother_education,school_type,scholarship,smoking_frequency,study_hours_extra,extracurricular,work_hours,math_grade,language_grade,aptitude_score
20,primaria,bachillerato,publico,1,fumador_ocasional,15+,social,15.4,88.7,73.8,1300.0
17,secundaria,secundaria,publico,0,no_fuma,<10,cultural,9.4,78.6,88.1,1293.0
17,universidad,secundaria,privado,0,no_fuma,15+,cultural,10.4,86.9,92.4,1300.0
19,sin_estudios,primaria,publico,0,no_fuma,<10,cultural,0.0,65.4,91.8,1247.0
19,secundaria,bachillerato,publico,1,no_fuma,<15,social,27.9,70.9,84.8,1233.0
18,secundaria,universidad,publico,0,no_fuma,<15,social,20.8,67.8,75.7,1238.0
20,bachillerato,bachillerato,publico,0,no_fuma,<5,deportiva,21.6,78.1,50.0,1227.0
20,posgrado,bachillerato,privado,0,no_fuma,<10,social,8.9,71.4,80.7,1287.0
19,secundaria,primaria,privado,0,fuma_poco,<15,deportiva,0.0,82.3,78.0,1300.0
20,secundaria,posgrado,publico,0,no_fuma,<5,deportiva,31.5,65.7,79.3,1273.0
20,universidad,universidad,publico,1,no_fuma,<10,cultural,11.4,75.4,78.5,1300.0
17,bachillerato,secundaria,publico,0,no_fuma,<10,cultural,4.5,81.9,66.1,1288.0
19,secundaria,posgrado,publico,0,fumador_ocasional,15+,social,16.2,54.3,83.0,1195.0
21,bachillerato,bachillerato,privado,1,fuma_poco,<10,deportiva,23.7,96.2,83.7,1300.0
19,primaria,bachillerato,publico,1,fuma_poco,15+,cultural,11.8,72.2,84.1,1300.0
21,primaria,universidad,publico,0,no_fuma,<10,social,24.8,54.7,86.5,1300.0
17,bachillerato,universidad,publico,0,no_fuma,<15,social,22.8,76.6,83.4,1256.0
18,secundaria,bachillerato,privado,0,no_fuma,<15,deportiva,1.2,75.3,74.3,1216.0
20,posgrado,primaria,privado,1,no_fuma,15+,deportiva,5.3,74.2,77.4,1300.0
17,secundaria,secundaria,publico,0,no_fuma,<10,cultural,21.6,84.9,78.8,1300.0
20,bachillerato,posgrado,privado,1,no_fuma,<15,deportiva,0.0,82.5,79.0,1300.0
18,bachillerato,secundaria,publico,0,no_fuma,<15,social,10.5,78.0,87.0,1236.0
18,sin_estudios,secundaria,publico,0,fumador_constante,<10,social,0.0,79.5,83.8,1300.0
17,bachillerato,bachillerato,privado,0,fumador_constante,<5,deportiva,7.2,74.0,96.7,1300.0
18,primaria,bachillerato,privado,0,no_fuma,<5,deportiva,9.0,92.8,97.9,1243.0
21,posgrado,bachillerato,privado,0,no_fuma,<5,deportiva,8.4,60.2,78.7,1257.0
18,primaria,posgrado,publico,0,no_fuma,15+,social,6.5,76.4,50.0,1300.0
20,secundaria,secundaria,publico,0,no_fuma,<5,deportiva,1.0,75.7,89.1,1293.0
20,primaria,primaria,privado,1,fumador_constante,<5,cultural,34.9,83.1,73.1,1245.0
20,posgrado,secundaria,publico,0,no_fuma,<15,cultural,30.7,66.6,70.8,1230.0
20,bachillerato,universidad,publico,1,fumador_ocasional,<10,cultural,0.4,57.6,74.4,1247.0
21,bachillerato,bachillerato,publico,0,no_fuma,<10,deportiva,27.8,76.6,74.0,1186.0
19,primaria,secundaria,privado,0,fumador_constante,<5,deportiva,8.0,77.8,83.5,1300.0
17,universidad,universidad,publico,0,no_fuma,15+,social,13.3,89.9,64.0,1238.0
20,secundaria,universidad,publico,0,fumador_ocasional,15+,social,11.4,62.3,68.3,1281.0
18,universidad,universidad,privado,1,no_fuma,15+,social,5.4,86.5,81.1,1300.0
20,secundaria,posgrado,publico,0,fuma_poco,<10,deportiva,21.8,98.7,83.6,1300.0
18,primaria,secundaria,publico,0,no_fuma,<15,deportiva,13.3,71.2,83.8,1233.0
18,sin_estudios,universidad,publico,0,no_fuma,<5,cultural,7.2,62.1,70.9,1299.0
20,bachillerato,bachillerato,publico,0,fumador_constante,<5,deportiva,0.0,70.9,69.2,1300.0
21,bachillerato,universidad,publico,0,fumador_constante,<5,social,3.1,75.1,73.4,1288.0
18,primaria,universidad,publico,1,fumador_ocasional,<15,cultural,0.0,80.6,80.2,1300.0
18,universidad,universidad,privado,1,fuma_poco,<10,deportiva,12.1,69.1,91.4,1300.0
20,bachillerato,bachillerato,publico,0,fumador_ocasional,<10,social,0.0,90.6,59.6,1300.0
18,bachillerato,secundaria,privado,0,no_fuma,<5,social,9.3,63.9,76.0,1202.0
18,secundaria,bachillerato,publico,0,no_fuma,<10,deportiva,25.7,57.6,66.0,1183.0
20,secundaria,posgrado,publico,0,no_fuma,<15,cultural,24.0,86.1,63.1,1300.0
20,bachillerato,posgrado,publico,0,fuma_poco,<10,deportiva,11.7,52.3,86.7,1276.0
17,primaria,primaria,publico,0,no_fuma,<15,deportiva,11.1,73.0,82.9,1300.0
21,primaria,secundaria,privado,0,no_fuma,<5,deportiva,30.8,100.0,82.0,1234.0
21,universidad,primaria,publico,0,fuma_poco,15+,cultural,17.2,74.9,86.3,1238.0
18,posgrado,universidad,publico,0,fumador_ocasional,<15,social,8.7,63.8,73.7,1300.0
21,secundaria,universidad,privado,0,no_fuma,<5,cultural,0.0,74.4,74.1,1278.0
18,secundaria,secundaria,privado,0,no_fuma,<5,deportiva,15.9,74.5,97.7,1277.0
17,bachillerato,bachillerato,privado,0,no_fuma,<15,cultural,20.3,76.6,75.8,1200.0
20,secundaria,universidad,publico,1,no_fuma,15+,deportiva,5.7,81.6,84.6,1300.0
20,sin_estudios,universidad,privado,0,no_fuma,<10,social,14.9,64.6,78.1,1243.0
20,primaria,bachillerato,publico,0,fuma_poco,<10,cultural,8.4,91.9,61.4,1300.0
21,universidad,bachillerato,publico,0,fuma_poco,15+,deportiva,10.2,77.5,59.6,1300.0
17,bachillerato,bachillerato,publico,1,fuma_poco,<15,deportiva,0.0,82.3,72.8,1300.0
21,sin_estudios,secundaria,publico,0,no_fuma,<10,social,9.8,68.7,87.5,1300.0
21,secundaria,bachillerato,publico,0,fumador_ocasional,<10,deportiva,21.7,87.9,85.1,1270.0
17,secundaria,universidad,publico,0,no_fuma,<5,social,5.7,72.4,86.2,1300.0
17,bachillerato,universidad,privado,1,no_fuma,<15,deportiva,12.5,77.8,69.1,1237.0
17,sin_estudios,bachillerato,publico,1,fumador_ocasional,<10,deportiva,4.4,65.7,92.5,1281.0
17,primaria,universidad,publico,0,no_fuma,15+,cultural,15.6,65.0,69.3,1197.0
20,universidad,secundaria,publico,1,no_fuma,<10,social,9.8,81.9,79.9,1300.0
19,primaria,bachillerato,privado,1,fumador_ocasional,<10,social,2.6,70.6,77.9,1300.0
19,bachillerato,sin_estudios,publico,1,no_fuma,<15,deportiva,25.3,66.5,76.4,1247.0
17,secundaria,secundaria,publico,0,fuma_poco,15+,deportiva,21.3,68.6,90.0,1240.0
19,primaria,universidad,privado,0,no_fuma,15+,deportiva,6.0,82.0,71.7,1300.0
19,secundaria,posgrado,privado,0,fuma_poco,<10,cultural,17.0,68.7,65.9,1228.0
17,universidad,primaria,publico,1,no_fuma,<15,cultural,17.4,73.8,78.2,1300.0
19,universidad,bachillerato,privado,0,no_fuma,<15,social,18.4,75.2,74.4,1236.0
21,universidad,universidad,privado,0,fuma_poco,<10,social,0.0,55.8,100.0,1300.0
18,secundaria,secundaria,privado,0,no_fuma,<5,deportiva,22.1,60.3,84.1,1153.0
18,bachillerato,bachillerato,publico,1,no_fuma,<10,cultural,6.3,78.4,74.3,1284.0
17,secundaria,universidad,privado,1,no_fuma,<5,social,8.4,67.6,68.5,1300.0
20,secundaria,bachillerato,publico,0,no_fuma,15+,social,38.4,85.6,61.1,1228.0
17,universidad,secundaria,publico,1,no_fuma,<10,deportiva,15.0,84.7,68.8,1251.0
20,sin_estudios,secundaria,publico,0,no_fuma,15+,deportiva,8.1,82.2,79.0,1300.0
18,primaria,universidad,publico,1,fumador_constante,<10,cultural,0.0,93.2,90.8,1300.0
17,secundaria,bachillerato,publico,0,no_fuma,<15,deportiva,25.9,74.2,88.1,1252.0
21,sin_estudios,sin_estudios,privado,0,no_fuma,<10,deportiva,0.0,81.5,80.1,1229.0
19,primaria,universidad,publico,1,no_fuma,<5,deportiva,2.0,69.2,75.1,1300.0
20,bachillerato,primaria,publico,0,no_fuma,<10,cultural,8.7,99.5,80.4,1300.0
19,secundaria,universidad,publico,1,fumador_constante,<5,deportiva,26.2,94.8,73.3,1257.0
19,universidad,secundaria,publico,0,no_fuma,<15,deportiva,19.7,75.1,93.5,1300.0
17,universidad,posgrado,privado,0,fumador_constante,<10,deportiva,10.4,78.9,76.3,1300.0
19,secundaria,secundaria,publico,0,no_fuma,<15,social,15.1,88.6,77.2,1266.0
21,secundaria,secundaria,publico,0,fuma_poco,<5,social,6.0,73.5,58.1,1190.0
19,secundaria,primaria,publico,0,no_fuma,<5,cultural,13.4,68.4,76.2,1275.0
17,bachillerato,secundaria,publico,0,fumador_ocasional,<10,cultural,12.7,83.7,85.5,1300.0
21,secundaria,universidad,publico,0,fuma_poco,15+,social,21.7,75.8,68.4,1183.0
18,bachillerato,posgrado,privado,0,no_fuma,<15,deportiva,21.7,76.8,71.2,1300.0
19,secundaria,secundaria,privado,1,no_fuma,<10,deportiva,16.9,66.7,85.1,1264.0
17,bachillerato,bachillerato,publico,1,no_fuma,<10,deportiva,8.4,57.8,64.7,1300.0
18,secundaria,universidad,privado,0,fumador_constante,<5,deportiva,19.4,77.4,87.5,1300.0
18,secundaria,universidad,privado,1,no_fuma,15+,deportiva,11.1,84.0,73.2,1299.0
20,posgrado,bachillerato,privado,0,no_fuma,<15,social,1.2,72.7,74.5,1300.0
21,universidad,secundaria,publico,0,fumador_ocasional,<10,cultural,8.0,89.4,67.9,1296.0
19,primaria,bachillerato,publico,1,no_fuma,<15,cultural,12.8,68.0,81.4,1198.0
17,universidad,universidad,publico,1,fumador_constante,<5,social,21.1,64.5,100.0,1300.0
20,bachillerato,sin_estudios,privado,0,fuma_poco,15+,deportiva,10.2,74.3,85.0,1300.0
21,universidad,bachillerato,privado,1,fuma_poco,<5,deportiva,0.0,74.2,70.2,1300.0
20,universidad,secundaria,publico,0,fumador_ocasional,<15,cultural,12.6,82.7,88.2,1300.0
21,secundaria,universidad,publico,1,no_fuma,<5,cultural,13.1,67.3,75.1,1300.0
21,sin_estudios,primaria,privado,0,no_fuma,<15,deportiva,13.9,88.7,90.4,1300.0
19,secundaria,bachillerato,privado,0,no_fuma,<15,cultural,21.2,94.7,85.3,1300.0
21,bachillerato,bachillerato,privado,0,no_fuma,<15,cultural,22.2,74.6,51.5,1267.0
20,bachillerato,bachillerato,privado,0,fuma_poco,<15,cultural,6.1,87.5,69.0,1300.0
21,secundaria,primaria,publico,0,fumador_constante,15+,cultural,5.8,64.4,86.5,1177.0
19,primaria,bachillerato,publico,1,no_fuma,<5,deportiva,1.6,85.8,79.4,1300.0
19,universidad,bachillerato,privado,0,no_fuma,<10,deportiva,19.0,85.5,68.8,1300.0
20,posgrado,bachillerato,publico,0,fumador_constante,<5,cultural,26.5,83.6,72.3,1300.0
18,bachillerato,bachillerato,publico,0,no_fuma,15+,deportiva,8.8,74.8,60.8,1300.0
18,primaria,universidad,privado,0,no_fuma,<10,social,9.6,50.0,77.2,1189.0
21,secundaria,universidad,publico,0,no_fuma,<15,cultural,26.7,68.6,97.9,1300.0
17,sin_estudios,secundaria,privado,0,fumador_constante,<15,deportiva,17.1,68.7,85.2,1203.0
21,posgrado,universidad,publico,0,fuma_poco,<5,social,16.4,65.2,97.7,1300.0
20,primaria,bachillerato,privado,0,fumador_ocasional,<5,cultural,0.1,76.2,85.9,1300.0
20,bachillerato,primaria,publico,0,fumador_ocasional,<10,deportiva,18.8,70.8,87.2,1240.0
20,secundaria,primaria,publico,1,no_fuma,<10,social,2.7,66.8,95.8,1270.0
20,bachillerato,secundaria,publico,1,no_fuma,<5,social,0.7,64.4,81.4,1254.0
20,bachillerato,universidad,publico,0,fumador_ocasional,<5,cultural,8.5,67.8,76.3,1300.0
19,universidad,universidad,privado,0,no_fuma,15+,deportiva,6.1,86.2,87.3,1300.0
18,secundaria,universidad,privado,0,fumador_ocasional,15+,cultural,9.8,68.4,91.1,1300.0
20,sin_estudios,bachillerato,publico,0,fumador_constante,<10,social,0.0,69.9,73.7,1300.0
17,primaria,bachillerato,publico,0,fuma_poco,<10,deportiva,21.6,70.4,71.5,1276.0
17,posgrado,primaria,publico,0,fuma_poco,<5,deportiva,23.3,78.4,79.2,1201.0
17,universidad,secundaria,publico,0,fumador_ocasional,<15,social,0.0,79.6,85.5,1300.0
17,bachillerato,bachillerato,privado,0,fumador_ocasional,15+,deportiva,21.8,50.0,85.2,1300.0
19,bachillerato,primaria,privado,0,no_fuma,<5,social,3.9,85.2,65.2,1300.0
17,bachillerato,secundaria,privado,1,no_fuma,<5,cultural,20.6,89.4,95.2,1300.0
20,primaria,bachillerato,privado,1,no_fuma,<15,cultural,11.3,64.5,72.2,1278.0
21,posgrado,universidad,publico,0,fuma_poco,<15,deportiva,12.3,65.3,75.6,1300.0
17,secundaria,posgrado,privado,0,no_fuma,<5,social,10.1,70.5,69.9,1300.0
19,secundaria,posgrado,privado,1,fuma_poco,<15,deportiva,24.1,67.4,100.0,1299.0
19,bachillerato,bachillerato,privado,1,no_fuma,<10,cultural,0.0,77.2,80.2,1300.0
17,sin_estudios,bachillerato,privado,0,fuma_poco,<10,cultural,18.1,55.5,70.3,1200.0
21,primaria,bachillerato,publico,0,no_fuma,<15,cultural,23.0,63.8,85.8,1250.0
17,universidad,universidad,privado,0,fuma_poco,15+,social,19.2,90.4,84.9,1292.0
19,primaria,primaria,publico,0,no_fuma,<10,cultural,35.2,65.7,76.3,1185.0
18,bachillerato,bachillerato,publico,0,no_fuma,15+,deportiva,6.7,87.4,85.6,1300.0
20,secundaria,universidad,publico,0,no_fuma,<10,social,21.6,78.6,70.6,1248.0
19,secundaria,secundaria,privado,0,fuma_poco,<15,cultural,10.9,56.9,73.6,1181.0
17,secundaria,bachillerato,privado,0,no_fuma,<10,deportiva,24.3,81.4,59.9,1230.0
20,secundaria,bachillerato,privado,1,no_fuma,15+,deportiva,11.9,73.8,66.1,1278.0
17,universidad,secundaria,privado,0,fumador_constante,15+,social,8.1,70.4,94.3,1300.0
17,secundaria,secundaria,publico,0,fuma_poco,<5,deportiva,25.1,77.4,92.8,1217.0
18,bachillerato,secundaria,privado,0,fumador_constante,15+,cultural,7.1,79.7,78.6,1270.0
20,bachillerato,sin_estudios,publico,0,no_fuma,15+,cultural,0.0,82.1,93.0,1300.0
20,bachillerato,sin_estudios,publico,1,no_fuma,<15,deportiva,6.8,86.8,76.6,1287.0
18,posgrado,universidad,publico,0,fumador_ocasional,<5,cultural,18.2,79.1,75.8,1300.0
19,universidad,secundaria,privado,0,no_fuma,15+,deportiva,25.9,61.2,78.5,1270.0
17,secundaria,bachillerato,privado,1,fuma_poco,15+,cultural,13.1,70.3,76.9,1300.0
21,sin_estudios,secundaria,publico,0,no_fuma,<10,cultural,25.2,100.0,76.1,1300.0
17,secundaria,posgrado,publico,1,no_fuma,15+,cultural,0.0,82.2,88.3,1300.0
17,bachillerato,secundaria,privado,0,no_fuma,<5,cultural,7.6,98.7,79.4,1300.0
19,primaria,bachillerato,publico,0,no_fuma,<5,social,9.1,89.0,84.4,1300.0
17,bachillerato,universidad,privado,0,no_fuma,<10,social,10.9,77.4,87.3,1300.0
18,bachillerato,universidad,privado,0,no_fuma,<15,deportiva,12.8,78.0,81.5,1300.0
18,secundaria,secundaria,publico,1,fumador_constante,<15,deportiva,18.9,74.6,69.3,1300.0
20,universidad,universidad,publico,1,no_fuma,<5,cultural,7.6,57.6,65.8,1256.0
21,primaria,bachillerato,privado,0,fuma_poco,15+,social,13.4,75.2,79.3,1296.0
17,primaria,bachillerato,privado,0,fumador_ocasional,<5,social,11.5,87.1,76.5,1300.0
17,universidad,primaria,publico,1,fuma_poco,<5,social,2.7,69.0,78.8,1249.0
19,bachillerato,primaria,privado,1,no_fuma,<5,deportiva,10.9,79.1,77.9,1300.0
18,bachillerato,universidad,publico,0,fuma_poco,<15,cultural,10.6,83.5,100.0,1300.0
21,secundaria,bachillerato,publico,0,fuma_poco,15+,cultural,10.3,65.9,66.0,1287.0
20,secundaria,bachillerato,privado,0,fuma_poco,<15,deportiva,12.3,70.5,60.1,1255.0
18,universidad,universidad,privado,1,fumador_ocasional,15+,deportiva,12.8,64.8,81.0,1300.0
20,universidad,universidad,publico,0,fumador_constante,<5,social,7.7,66.8,74.6,1300.0
19,bachillerato,secundaria,privado,0,fuma_poco,<10,deportiva,24.7,62.1,80.8,1286.0
19,secundaria,bachillerato,publico,1,no_fuma,<10,deportiva,0.3,66.0,83.3,1300.0
17,bachillerato,primaria,publico,0,fuma_poco,<10,deportiva,4.8,89.2,89.6,1300.0
21,secundaria,universidad,publico,0,no_fuma,<5,social,39.8,65.8,64.4,1211.0
20,primaria,bachillerato,privado,0,fumador_ocasional,<15,cultural,1.6,76.3,73.0,1300.0
18,posgrado,posgrado,publico,0,no_fuma,<10,cultural,0.0,70.0,81.9,1295.0
19,primaria,primaria,publico,0,no_fuma,<15,social,19.3,86.8,84.9,1299.0
17,posgrado,primaria,publico,0,fumador_ocasional,<10,deportiva,0.0,88.1,97.7,1290.0
17,secundaria,secundaria,privado,0,fuma_poco,<5,cultural,9.6,83.6,86.6,1300.0
20,primaria,secundaria,privado,0,no_fuma,<15,deportiva,33.5,78.1,77.5,1286.0
19,bachillerato,secundaria,privado,1,no_fuma,<5,deportiva,0.0,72.7,70.0,1300.0
21,universidad,posgrado,publico,1,fumador_ocasional,15+,social,0.0,63.1,72.9,1300.0
19,universidad,secundaria,publico,0,no_fuma,<15,social,0.0,94.4,72.7,1300.0
20,universidad,secundaria,publico,0,fumador_ocasional,<5,deportiva,21.0,67.4,83.9,1300.0
20,bachillerato,universidad,privado,0,no_fuma,15+,deportiva,23.2,81.6,80.3,1300.0
19,bachillerato,bachillerato,privado,0,fumador_ocasional,<10,cultural,6.9,85.6,66.1,1300.0
20,universidad,universidad,publico,0,fumador_ocasional,<5,deportiva,18.8,69.4,74.1,1299.0
19,secundaria,primaria,privado,0,no_fuma,<15,deportiva,25.9,85.4,85.9,1300.0
18,bachillerato,bachillerato,publico,0,no_fuma,<10,deportiva,29.9,82.6,81.2,1223.0
19,secundaria,primaria,publico,0,no_fuma,15+,deportiva,9.5,92.3,83.1,1300.0
19,posgrado,primaria,publico,0,fuma_poco,15+,social,0.0,70.3,81.4,1300.0
20,posgrado,posgrado,publico,0,no_fuma,15+,deportiva,3.8,62.1,92.6,1300.0
20,sin_estudios,primaria,publico,0,fuma_poco,<10,deportiva,7.7,69.9,80.1,1277.0
17,universidad,bachillerato,publico,0,no_fuma,<10,cultural,9.4,77.1,74.5,1231.0
17,posgrado,bachillerato,publico,0,no_fuma,<15,social,10.1,75.6,69.8,1296.0
18,primaria,secundaria,privado,1,no_fuma,<5,deportiva,23.2,71.1,80.2,1235.0
17,bachillerato,posgrado,publico,1,no_fuma,<10,deportiva,24.7,55.9,56.0,1243.0
19,posgrado,sin_estudios,publico,0,fuma_poco,<10,deportiva,10.3,79.7,76.3,1261.0
20,sin_estudios,bachillerato,privado,0,fumador_ocasional,<5,cultural,23.0,94.7,76.1,1257.0
17,bachillerato,posgrado,publico,0,fuma_poco,<10,cultural,15.6,79.6,65.7,1200.0
17,secundaria,bachillerato,publico,0,no_fuma,15+,social,12.6,81.1,69.6,1300.0
18,posgrado,posgrado,privado,0,fumador_constante,15+,social,21.1,80.7,85.3,1300.0
18,posgrado,primaria,publico,1,fuma_poco,<5,social,12.7,79.0,80.1,1300.0
19,posgrado,bachillerato,publico,0,fumador_constante,<5,cultural,32.6,84.3,78.9,1300.0
20,bachillerato,secundaria,publico,1,no_fuma,<10,cultural,0.0,79.0,80.8,1285.0
18,universidad,universidad,privado,0,no_fuma,15+,deportiva,6.8,71.9,78.8,1271.0
17,universidad,posgrado,publico,0,no_fuma,<5,social,10.7,67.0,89.2,1267.0
20,secundaria,secundaria,privado,1,fuma_poco,<15,deportiva,16.4,72.5,79.1,1263.0
20,universidad,bachillerato,publico,0,no_fuma,<5,deportiva,24.7,78.1,64.9,1283.0
17,sin_estudios,secundaria,publico,0,no_fuma,<15,cultural,11.8,71.8,92.7,1250.0
18,bachillerato,bachillerato,publico,0,no_fuma,<10,deportiva,0.0,78.1,81.3,1300.0
17,secundaria,bachillerato,privado,0,fuma_poco,<15,cultural,20.4,79.4,72.7,1300.0
20,primaria,posgrado,publico,1,fuma_poco,<5,cultural,19.5,83.3,66.7,1300.0
21,primaria,bachillerato,publico,0,no_fuma,<15,cultural,0.0,87.8,81.6,1300.0
21,bachillerato,secundaria,publico,1,no_fuma,<5,social,12.0,75.8,76.9,1300.0
19,secundaria,primaria,publico,1,fuma_poco,<15,deportiva,0.0,61.9,92.2,1300.0
17,universidad,secundaria,privado,1,fumador_constante,15+,cultural,5.4,71.5,74.9,1300.0
17,primaria,secundaria,publico,0,fuma_poco,<5,cultural,3.0,75.4,70.5,1279.0
19,secundaria,secundaria,publico,0,fumador_constante,15+,cultural,20.1,56.6,86.1,1300.0
19,bachillerato,universidad,publico,1,fumador_ocasional,<15,social,13.2,88.9,86.3,1300.0
19,universidad,bachillerato,privado,0,fuma_poco,<5,deportiva,0.0,76.4,79.5,1300.0
20,secundaria,bachillerato,publico,0,no_fuma,<10,cultural,20.8,78.8,84.1,1270.0
17,bachillerato,primaria,publico,0,fuma_poco,<5,deportiva,0.0,88.7,77.7,1300.0
20,universidad,universidad,privado,0,fuma_poco,<15,social,15.3,68.7,80.1,1300.0
19,bachillerato,universidad,privado,0,fuma_poco,<15,deportiva,3.9,80.7,88.5,1300.0
17,secundaria,primaria,publico,0,no_fuma,<5,cultural,8.3,73.9,83.6,1198.0
20,sin_estudios,universidad,publico,0,no_fuma,<10,deportiva,17.0,73.2,76.5,1260.0
20,universidad,bachillerato,publico,1,no_fuma,15+,deportiva,17.2,67.3,90.2,1300.0
19,sin_estudios,primaria,publico,0,no_fuma,15+,cultural,25.4,91.7,56.7,1300.0
17,universidad,bachillerato,publico,1,no_fuma,<10,social,11.2,71.2,96.5,1284.0
19,bachillerato,bachillerato,publico,0,fumador_ocasional,15+,cultural,15.1,82.0,62.6,1284.0
17,posgrado,secundaria,publico,1,no_fuma,<10,social,7.6,56.2,72.4,1242.0
21,universidad,posgrado,publico,0,no_fuma,<10,cultural,13.8,86.8,77.6,1300.0
18,posgrado,universidad,privado,1,no_fuma,15+,cultural,16.4,85.5,76.7,1300.0
18,secundaria,bachillerato,privado,0,fuma_poco,<10,deportiva,11.0,76.0,87.1,1273.0
18,universidad,bachillerato,publico,1,no_fuma,<10,social,0.0,72.7,68.5,1300.0
19,secundaria,bachillerato,publico,0,no_fuma,<10,deportiva,15.3,79.0,80.3,1281.0
21,bachillerato,bachillerato,publico,1,fuma_poco,15+,social,15.6,97.9,72.8,1300.0
17,bachillerato,bachillerato,privado,1,no_fuma,15+,social,5.2,57.4,80.7,1249.0
20,universidad,primaria,publico,0,fumador_constante,<10,social,0.0,82.8,77.4,1300.0
17,posgrado,bachillerato,publico,0,fumador_constante,<10,cultural,26.8,65.9,78.8,1300.0
20,universidad,universidad,publico,1,no_fuma,<10,cultural,16.9,74.8,73.1,1300.0
17,secundaria,bachillerato,publico,0,no_fuma,<15,social,9.7,72.5,73.4,1262.0
21,secundaria,primaria,publico,1,fuma_poco,<5,deportiva,0.6,70.7,80.6,1300.0
20,universidad,universidad,publico,0,no_fuma,<15,cultural,3.8,74.9,86.5,1300.0
19,secundaria,secundaria,publico,0,no_fuma,<10,deportiva,25.0,63.7,72.6,1237.0
17,primaria,secundaria,privado,1,no_fuma,<10,cultural,13.4,85.3,70.2,1300.0
17,secundaria,secundaria,publico,0,fumador_constante,<5,deportiva,6.5,57.1,83.5,1300.0
20,secundaria,secundaria,privado,1,no_fuma,<5,deportiva,17.1,80.4,77.7,1300.0
19,secundaria,universidad,privado,0,fuma_poco,15+,deportiva,3.9,71.7,85.5,1292.0
19,secundaria,bachillerato,publico,0,fuma_poco,<10,cultural,27.0,63.3,69.8,1195.0
21,sin_estudios,secundaria,publico,0,no_fuma,<5,cultural,25.5,77.0,62.0,1111.0
19,sin_estudios,universidad,publico,0,no_fuma,<10,deportiva,7.3,59.4,73.2,1300.0
19,posgrado,universidad,publico,0,fumador_constante,<10,cultural,5.7,75.4,71.1,1300.0
19,secundaria,universidad,privado,0,no_fuma,<5,deportiva,0.0,60.8,77.3,1236.0
18,secundaria,secundaria,privado,0,fuma_poco,<10,cultural,0.0,79.6,72.3,1287.0
21,bachillerato,bachillerato,publico,0,no_fuma,<10,cultural,0.0,65.8,84.7,1273.0
17,secundaria,posgrado,publico,1,no_fuma,<15,cultural,13.4,70.5,75.4,1300.0
20,posgrado,universidad,privado,0,no_fuma,<10,cultural,8.7,77.9,79.4,1266.0
17,universidad,sin_estudios,privado,0,no_fuma,<10,deportiva,0.0,67.3,79.4,1285.0
21,primaria,primaria,privado,0,no_fuma,15+,social,9.2,74.4,79.8,1269.0
20,secundaria,bachillerato,publico,0,fumador_ocasional,<10,cultural,17.1,59.9,77.8,1296.0
21,universidad,posgrado,publico,1,no_fuma,<10,cultural,17.3,81.3,82.6,1300.0
19,posgrado,bachillerato,privado,0,no_fuma,<5,cultural,0.0,92.6,70.8,1267.0
20,bachillerato,bachillerato,privado,0,no_fuma,<10,deportiva,10.7,100.0,90.6,1300.0
19,bachillerato,primaria,publico,0,fumador_ocasional,<15,cultural,0.0,75.9,75.9,1261.0
