Respondent_ID,City,Purchase_Frequency,Brand_Awareness,Price_Sensitivity,Preferred_Channel,Likelihood_to_Buy,Preferred_Product,Monthly_Spend_MXN,Survey_Month
R134,Villahermosa,1,42,Media,Tienda,4,Polvos,117,2025-09
R135,Mérida,3,75,Media,Tienda,3,Salsas,197,2025-08
R136,Villahermosa,2,56,Baja,Tienda,4,Adobos,117,2025-07
R137,Chetumal,1,62,Media,Tienda,3,Polvos,171,2025-09
R138,Mérida,3,72,Alta,EcommercePropio,5,Salsas,148,2025-09
R139,Camp eche,2,48,Baja,Tienda,2,Polvos,208,2025-09
R140,Mérida,3,51,Alta,Tienda,3,Polvos,188,2025-08
R141,Camp eche,3,50,Baja,Tienda,3,Polvos,119,2025-09
R142,Tuxtla Gutiérrez,4,63,Media,Marketplace,4,Polvos,191,2025-08
R143,Camp e che,3,65,Media,Marketplace,3,Salsas,194,2025-07
R144,Playa del Carmen,2,90,Media,Marketplace,4,Polvos,188,2025-07
R145,Camp e che,2,73,Media,Marketplace,4,Salsas,136,2025-08
R146,Villahermosa,2,52,Baja,Tienda,5,Polvos,221,2025-08
R147,Playa del Carmen,3,78,Baja,Tienda,4,Adobos,282,2025-08
R148,Mérida,3,81,Media,EcommercePropio,4,Adobos,253,2025-08
R149,Tuxtla Gutiérrez,2,67,Alta,Tienda,4,Polvos,107,2025-07
R150,Cancún,3,79,Media,EcommercePropio,5,Adobos,198,2025-09
R151,Playa del Carmen,2,61,Media,Tienda,2,Adobos,138,2025-07
R152,Mérida,3,60,Alta,Marketplace,4,Polvos,226,2025-09
R153,Playa del Carmen,2,94,Baja,Marketplace,4,Adobos,280,2025-09
R154,Cancún,2,86,Media,Tienda,3,Salsas,234,2025-09
R155,Tuxtla Gutiérrez,2,56,Alta,Tienda,4,Adobos,146,2025-07
R156,Mérida,2,83,Alta,Tienda,5,Salsas,131,2025-09
R157,Villahermosa,2,66,Alta,Marketplace,3,Adobos,153,2025-07
R158,Mérida,1,92,Media,Marketplace,4,Polvos,206,2025-07
R159,Mérida,3,73,Baja,Marketplace,5,Polvos,184,2025-08
R160,Camp eche,2,41,Baja,Tienda,3,Polvos,226,2025-09
R161,Chetumal,2,68,Media,Marketplace,3,Polvos,129,2025-07
R162,Villahermosa,2,64,Media,Marketplace,4,Polvos,164,2025-08
R163,Tuxtla Gutiérrez,2,56,Alta,Marketplace,3,Polvos,184,2025-08
R164,Camp eche,2,60,Alta,Marketplace,5,Adobos,143,2025-07
R165,Tuxtla Gutiérrez,2,50,Media,EcommercePropio,5,Polvos,75,2025-09
R166,Mérida,2,62,Media,Tienda,5,Adobos,224,2025-07
R167,Cancún,2,59,Media,Tienda,4,Salsas,214,2025-09
R168,Tuxtla Gutiérrez,2,40,Media,EcommercePropio,3,Polvos,173,2025-08
R169,Mérida,3,75,Media,Tienda,4,Salsas,139,2025-07
R170,Chetumal,2,45,Media,Marketplace,3,Salsas,183,2025-08
R171,Mérida,2,62,Alta,Tienda,4,Salsas,190,2025-08
R172,Tuxtla Gutiérrez,2,30,Alta,EcommercePropio,3,Polvos,161,2025-08
R173,Chetumal,3,49,Baja,Marketplace,3,Salsas,162,2025-07
R174,Mérida,3,60,Media,Tienda,3,Salsas,172,2025-07
R175,Chetumal,2,39,Media,Tienda,4,Adobos,145,2025-08
R176,Campeche,2,64,Media,Tienda,4,Polvos,97,2025-08
R177,Mérida,3,81,Baja,Tienda,4,Adobos,292,2025-07
R178,Tuxtla Gutiérrez,2,73,Alta,Tienda,4,Adobos,110,2025-07
R179,Campeche,3,83,Media,EcommercePropio,5,Salsas,200,2025-07
R180,Playa del Carmen,2,59,Media,EcommercePropio,3,Polvos,270,2025-07
R181,Villahermosa,1,52,Alta,Marketplace,2,Salsas,143,2025-08
R182,Villahermosa,3,43,Baja,Marketplace,3,Polvos,239,2025-08
R183,Mérida,2,60,Baja,Marketplace,2,Adobos,142,2025-07
R184,Playa del Carmen,3,66,Alta,Tienda,5,Salsas,207,2025-09
R185,Mérida,2,68,Alta,Marketplace,5,Polvos,183,2025-08
R186,Mérida,2,55,Alta,Marketplace,4,Salsas,148,2025-07
R187,Tuxtla Gutiérrez,1,50,Baja,EcommercePropio,4,Salsas,273,2025-09
R188,Mérida,2,59,Alta,Tienda,5,Adobos,183,2025-08
R189,Mérida,2,62,Alta,Tienda,3,Adobos,228,2025-07
R190,Villahermosa,2,51,Baja,Marketplace,3,Polvos,250,2025-08
R191,Campeche,2,65,Alta,Tienda,4,Salsas,148,2025-07
R192,Cancún,2,82,Alta,Tienda,5,Salsas,176,2025-09
R193,Mérida,2,59,Alta,Tienda,4,Polvos,169,2025-09
R194,Cancún,2,75,Media,Tienda,3,Salsas,241,2025-07
R195,Mérida,2,74,Media,EcommercePropio,4,Salsas,247,2025-08
R196,Mérida,2,64,Alta,Tienda,4,Polvos,163,2025-09
R197,Tuxtla Gutiérrez,1,39,Media,EcommercePropio,3,Salsas,123,2025-09
R198,Villahermosa,2,63,Media,Tienda,3,Adobos,205,2025-07
R199,Mérida,3,70,Media,Marketplace,4,Polvos,189,2025-07
R200,Cancún,3,75,Alta,Tienda,4,Salsas,207,2025-07
