Creator_ID,Creator_Name,Content_Type,Family_Safe,Main_Country,Audience_Age_Main,Audience_Gender_Main,YouTube_Followers,Instagram_Followers,TikTok_Followers,Avg_Views_YT,Avg_Views_IG,Avg_Views_TT,Avg_Campaign_Cost_USD
CR051,Creator_51,Sports,Yes,Chile,25-34,Women,363637,324287,347999,63826,33136,83753,3000
CR052,Creator_52,Food,Yes,Peru,25-34,Women,596776,92266,250750,130030,23424,59835,3000
CR053,Creator_53,Lifestyle,No,Mexico,18-24,Women,231584,306522,681606,39967,71593,204954,3000
CR054,Creator_54,Fitness,No,Chile,18-24,Women,279324,424427,440262,42742,108340,102179,3000
CR055,Creator_55,Kids/Education,Yes,Mexico,18-24,Women,360230,146943,496474,61023,14039,95183,3000
CR056,Creator_56,Food,Yes,Colombia,25-34,Mixed,363128,215016,531723,98087,31052,196152,3000
CR057,Creator_57,Education,Yes,Argentina,18-24,Men,338158,276352,153934,73515,48826,46879,3000
CR058,Creator_58,Gaming,Yes,Peru,25-34,Men,449283,528750,424513,94674,50372,118496,3000
CR059,Creator_59,Tech/Education,No,Mexico,25-34,Women,139872,226756,425391,44480,52297,132954,3000
CR060,Creator_60,DIY,Yes,Peru,18-24,Men,407825,411573,163651,125725,79063,37149,3000
CR061,Creator_61,Tech/Education,Yes,Argentina,18-24,Mixed,184358,486786,316718,30091,79583,65081,3000
CR062,Creator_62,Comedy,No,Colombia,35-44,Women,619537,310472,548144,98024,99852,163843,3000
CR063,Creator_63,Tech Reviews,Yes,Chile,18-24,Women,493517,461999,486218,58654,158379,151220,3000
CR064,Creator_64,Comedy,Yes,Argentina,25-34,Mixed,371393,331151,541568,125929,70018,83573,3000
CR065,Creator_65,Automotive,Yes,Chile,18-24,Women,545544,307239,439408,81284,26964,95014,3000
CR066,Creator_66,Music,No,Argentina,18-24,Women,414987,363255,723286,105695,103584,199675,3000
CR067,Creator_67,Kids/Education,Yes,Colombia,18-24,Mixed,90552,204140,525455,21395,56041,167361,3000
CR068,Creator_68,Wellness,No,Chile,18-24,Men,423568,374101,643868,139319,104563,181598,3000
CR069,Creator_69,Gaming,Yes,Argentina,35-44,Women,340853,442604,138231,49569,54414,35282,3000
CR070,Creator_70,News/Commentary,Yes,Peru,18-24,Women,501047,366019,717687,167839,103375,362480,3000
CR071,Creator_71,Entertainment,No,Mexico,18-24,Men,222085,319441,359251,50958,37050,120991,3000
CR072,Creator_72,Gaming,Yes,Chile,25-34,Men,416769,394274,482692,129266,81051,122341,3000
CR073,Creator_73,Education,No,Colombia,18-24,Men,501299,447120,271459,103891,28562,69532,3000
CR074,Creator_74,Travel,No,Mexico,18-24,Men,334064,512394,359123,54425,125783,105939,3000
CR075,Creator_75,Sustainability,Yes,Colombia,18-24,Women,351455,296814,59655,67448,45345,14628,3000
CR076,Creator_76,Education,Yes,Mexico,13-17,Women,399538,366097,250254,121837,90375,81727,3000
CR077,Creator_77,Fitness,Yes,Mexico,18-24,Mixed,402870,309085,564132,158227,101085,164312,3000
CR078,Creator_78,Education,No,Colombia,25-34,Women,425834,177346,202398,90361,52786,49969,3000
CR079,Creator_79,Travel,Yes,Mexico,18-24,Men,30000,125407,401447,9632,24383,108565,3000
CR080,Creator_80,Music,No,Mexico,13-17,Women,190952,472388,380585,64382,91812,147216,3000
