uuid_interaction,transaction_ts,items,amount
830b0d3a-61e9-577d-b563-66e035141e25,2025-06-12 16:19:10.034402,4,317
31d3988d-eaee-51a6-b410-366b48ce38fa,2025-06-10 13:53:45.034402,9,741
bc368116-79e2-5e32-beb6-3acda14ecd33,2025-05-27 16:40:53.034402,4,996
6b66979e-e416-58a8-842c-d3f42403754e,2025-05-21 16:37:32.034402,13,1279
a922d12b-6576-5574-ba48-634f923080f1,2025-05-25 17:07:31.034402,12,427
b890b678-77fe-5f08-821d-f0f8a8036f4b,2025-06-09 22:09:24.034402,3,1497
9a6b8d9b-88de-5584-b0d0-91a85b8737ae,2025-06-09 12:48:51.034402,8,1592
21fb5444-74d1-535e-af47-a2b123a9debd,2025-05-12 16:48:56.034402,7,1093
6b16276c-2405-59ce-9be1-bccdf5946a6d,2025-05-21 00:56:50.034402,2,319
3a0d1194-d0e9-5d37-b0c9-5742046be40e,2025-05-26 03:47:42.034402,7,2693
b1607d4c-bac7-532f-9b69-46b32567db2b,2025-05-24 07:53:19.034402,6,1144
01af6f05-d207-5459-af1b-e425b13572be,2025-05-10 11:33:34.034402,10,1740
d2d4e17b-fa7b-5ea2-aede-b1e9bf378ec1,2025-05-25 02:28:47.034402,3,147
e52a2de6-6356-5a85-8c36-7a1626b5c860,2025-06-12 21:53:51.034402,17,1659
8331de1f-c08f-58df-af1b-97e88c7cba91,2025-06-01 13:20:19.034402,18,5466
0a3e9a90-1d03-5860-a318-a5aa0d42cf8e,2025-06-07 08:22:11.034402,19,3031
47464be8-1df0-5b99-923d-edbe89230641,2025-05-25 10:12:38.034402,4,1196
0c0eed8a-cdfd-535c-99f6-eb21c9faa43a,2025-05-21 22:30:08.034402,7,2493
2c0ed6e6-6fad-53e8-b239-0895d3cea1d0,2025-05-10 17:41:13.034402,15,5235
4efc85cc-d5af-5cee-a160-9805dd0742d5,2025-06-11 19:54:34.034402,6,1394
313676ff-d48e-55a3-afcf-3ec64320aa33,2025-05-16 05:22:02.034402,15,2027
8c1c8fdd-d9b9-5a07-ac9c-fc1cd390a230,2025-06-08 23:22:25.034402,3,1497
8a9e6d74-4b39-5860-9299-88872c908173,2025-06-14 07:14:50.034402,1,20
790eb67d-78ef-5dcd-b462-3b5c57fd2ad7,2025-06-15 07:17:16.034402,9,2441
0218138c-f5c0-50f5-8b53-3dc1d960c269,2025-05-10 11:09:27.034402,7,343
5470ba45-4a18-5886-ae0b-90c5d2ddda4f,2025-05-20 21:08:46.034402,11,2489
98ec949f-d10d-5f78-b701-5b544a9ae8a8,2025-05-14 18:09:16.034402,14,2836
baa9c6d5-9ddf-5337-b5a3-1ae40587a99e,2025-05-22 21:34:39.034402,12,2688
534916a6-327d-5619-8538-e82d69e9fa01,2025-05-23 23:00:16.034402,9,691
7ad00144-579b-5938-b9a9-ae3ed4f6962a,2025-05-28 23:12:19.034402,8,1384
c1c00f3a-ea70-5622-939d-59ae00423307,2025-05-31 09:02:04.034402,9,633
4f65c2ae-ede4-545e-abb9-a007849132d8,2025-06-01 22:59:34.034402,14,280
384255e4-5470-50c2-910a-8a878a61bae8,2025-06-14 04:23:18.034402,9,4491
b1242586-cbb6-54f0-9d6c-0ead3095efbc,2025-05-24 06:14:23.034402,13,3637
1e55ce32-cb52-5ddd-a77f-26df2bbf223f,2025-06-06 07:50:52.034402,8,597
1c6729f0-d71e-5cc6-bc0f-a99cd4d0ea52,2025-06-05 14:36:46.034402,9,733
d4492f16-23b0-5ee2-96f3-69cfa7fcae8a,2025-05-15 09:33:11.034402,1,49
dc0295f2-5a66-5141-83d2-326e121f7bbc,2025-05-16 08:00:27.034402,2,998
222a5a7f-75ac-5181-bef0-2cc2339c637a,2025-05-30 16:24:28.034402,16,6784
6decc2bb-df23-5140-b540-0a35c00d5ea7,2025-06-21 18:09:54.034402,3,247
712af53e-0e4d-5b00-acf5-f9e8efefcb9d,2025-05-31 22:41:50.034402,1,299
55092c97-4f20-52d5-bfa1-a321325b6776,2025-06-15 10:59:05.034402,7,2493
4017fa31-e602-50f2-94c2-3781c7cc87e5,2025-05-15 21:22:29.034402,22,4028
740eef86-4eb5-585e-9e22-b6ca00d6b1b3,2025-05-21 12:54:28.034402,13,376
2bb93ebe-bb90-5915-8812-ccd9e8989d32,2025-05-28 14:05:34.034402,12,1435
6f1fa23e-2382-5dde-9a68-b8fbdab22baa,2025-05-29 06:41:54.034402,10,200
b0a2b896-3ffe-5e95-9cde-16380d4e9962,2025-06-11 11:12:47.034402,5,1537
3826616a-775a-5e01-b5fe-c95078ba6a0c,2025-05-19 21:07:05.034402,13,2500
14636b8c-d2a3-58e5-8a40-8830b4cd19f5,2025-06-06 13:06:20.034402,2,98
e896f1cc-6dc1-5cd8-8966-0030d256314a,2025-06-18 17:15:40.034402,8,3992
53fbb864-7b1e-5190-9f91-85d4c27efd67,2025-05-14 08:17:38.034402,3,1497
05a28ba3-503d-5b39-b8f5-e3fb6ff2f96a,2025-06-13 12:40:06.034402,12,443
fa21f9d0-7138-5bcf-ac01-6e16371d2071,2025-05-31 04:29:13.034402,12,2159
9d1a6973-d8d8-59c6-9607-60c315912212,2025-05-28 03:29:15.034402,5,1495
f8363158-b159-587d-ac0b-82e8a0268aa2,2025-06-12 11:23:09.034402,16,3784
70a6022d-008c-539a-9500-0286759dfca3,2025-06-13 10:48:54.034402,6,599
259d605b-26f7-5783-8ff0-84dc1c579e6f,2025-05-25 05:13:18.034402,7,3043
a28160e1-ba66-5798-b9ac-7d7308337b23,2025-06-01 01:09:38.034402,8,3513
087d1905-2168-5787-96a6-b0e6ebd57ff8,2025-05-26 14:01:29.034402,7,140
3a7e98a6-3862-5b79-8538-2b5f70c3941b,2025-06-14 00:55:45.034402,17,4483
7095df98-2f79-53e5-bb28-4c5f0018fa0f,2025-05-06 23:00:20.034402,12,5988
daeaa3cd-1bc8-577d-868a-fe1bdbb6d3b4,2025-05-22 04:03:08.034402,8,1305
d4dfad7e-ea63-5b6e-9c6a-35e2d4656fa6,2025-06-13 17:06:27.034402,8,1755
3f465761-cfa6-56ad-9a46-947eca970fb8,2025-06-05 13:15:31.034402,8,305
cc3c1fe1-e50e-56c3-bd71-bdeb22ae531f,2025-06-02 15:58:39.034402,10,595
bc7db393-25b2-564c-b4f6-c68a73d58c77,2025-06-10 21:35:10.034402,8,1555
5136f11a-aba3-5534-ae29-9ed5609a365a,2025-05-10 05:09:57.034402,7,198
b0df68f9-2a4c-5005-93a2-5c9536326c6c,2025-06-01 04:44:36.034402,20,2898
7b4bc7f9-74e7-5115-ae25-17835ed16d6f,2025-06-05 18:48:18.034402,7,493
2684cd7f-9302-5e60-948a-3e98675692a9,2025-05-08 18:21:59.034402,14,1328
f1667463-a8fa-55ed-8ee2-ce8c6d6cdce0,2025-05-18 12:38:56.034402,1,499
ceb7c14b-b7ad-574c-b8db-7e18b29e8995,2025-06-02 16:40:53.034402,12,1438
b3a7fad1-baee-5dc5-a69b-32c4d4d60a32,2025-05-14 11:03:34.034402,2,548
c65b2606-8537-5c53-8c04-67fd0ae31477,2025-06-03 08:17:00.034402,10,2674
3fa5dc9d-3742-559e-b65a-d42cf2dda0c8,2025-06-10 14:55:58.034402,9,2241
608afa92-1fc3-53ab-a6b3-578375cb002b,2025-05-13 01:50:48.034402,12,1677
b82429c3-cd4d-51ea-af08-35effd750287,2025-06-03 06:16:23.034402,2,98
dcc373f1-248a-5e97-89f0-ddaf21da2365,2025-06-02 15:18:28.034402,16,6305
a8e369f4-78c7-508e-8669-3c53b254142c,2025-06-16 01:54:27.034402,18,3582
f9ddca19-b4df-5ca6-8414-7ee4afb85e8f,2025-06-19 16:10:04.034402,3,60
5fe40fdb-bbc6-5f88-a111-7d74385229ab,2025-05-19 01:52:15.034402,10,1553
2d154750-1bcf-50ad-b656-37c73de2b7fd,2025-05-30 12:06:46.034402,3,197
c2f34a7c-9744-5628-a7ed-32753c3b9db4,2025-05-28 09:42:34.034402,9,441
a7ca4942-7c45-5871-bed0-c8fc5ce132c9,2025-05-12 11:34:32.034402,5,1058
da2da465-e755-5509-b22f-3c060c1109bf,2025-05-30 17:54:12.034402,14,2070
0034fd97-8a8b-552e-a510-d3872a050ce8,2025-06-15 21:12:35.034402,10,3140
6b735966-411b-5b16-b7a9-b894ea1b0b0d,2025-05-22 16:15:16.034402,10,2282
de402851-7ded-58c8-8cc7-582148751e62,2025-05-19 13:11:27.034402,11,610
acdb2ba4-9d60-5315-bc17-54b7d2f4a087,2025-05-11 11:28:08.034402,21,2484
a981ab3b-3c07-576d-88d0-fca14db294f5,2025-05-24 18:25:56.034402,8,1113
f25635aa-1e97-5784-bcbd-d0261e93e9fb,2025-05-29 07:26:04.034402,11,831
8ed3e21c-a364-578d-97d9-42a01033231c,2025-05-24 12:53:55.034402,10,2032
94af828c-1e9e-530b-8e1f-aec6a516c526,2025-05-27 16:50:09.034402,11,1889
28d43f26-75e0-55da-a34f-5e1548e4fcc0,2025-06-02 01:53:26.034402,4,996
b2a4d0e8-06cb-5345-8b80-89f5e7cd1ee5,2025-06-01 22:35:04.034402,8,434
0441ccb6-85fe-5163-b966-2e35f9bc0188,2025-05-29 11:18:29.034402,4,196
bbfc4b19-7f4b-50bc-a49c-b440bfb98e2a,2025-06-11 21:02:40.034402,2,98
81f54f2f-b832-55fd-bf85-e49d13139eee,2025-05-31 07:24:17.034402,5,245
8fa59085-48ce-5823-a851-fa44fc369f3e,2025-06-16 15:02:44.034402,12,2072
259cabed-96df-5e6c-a23a-ee123d87018d,2025-06-13 04:58:45.034402,6,2594
9e734adb-2592-53a2-b402-a0c0b7b4c8b0,2025-06-14 13:37:14.034402,14,1649
e07f765a-78ca-5637-b099-144c04b96480,2025-06-14 05:17:05.034402,18,1432
d8770c16-c9e9-5a8d-8215-16317c268147,2025-05-25 19:07:38.034402,9,3891
85c6b449-1e78-5359-96ab-5b87d6c517a7,2025-06-07 07:20:04.034402,11,3889
23bddc67-331a-5344-bd16-d7c8c9e2bada,2025-06-12 18:56:00.034402,10,3290
36736ba3-6ebb-5662-b055-83803e4a6840,2025-06-06 19:30:28.034402,12,738
e1ed9bdc-83fa-5a9c-b046-bacd1df2a700,2025-06-17 15:46:35.034402,14,3233
1aa2fc86-4bdf-5f3a-950d-3c986166bf6f,2025-05-09 15:11:59.034402,11,2094
ba10c8d5-7d5f-5536-a68a-579b456edb60,2025-05-16 20:14:10.034402,6,2065
85fe7646-0639-5fa0-adad-9b9a555d5605,2025-05-28 12:15:02.034402,6,1644
9dcc1d0d-4ced-5d1f-90e5-df64b76193f0,2025-06-07 11:52:29.034402,11,960
27e7f388-40a2-5d8b-a7b3-3d706b53972c,2025-06-20 02:26:27.034402,16,3589
9afc7bf4-9efd-5b85-a029-b162133c6741,2025-05-22 05:00:39.034402,6,1115
5cc0dda6-854a-5124-9aa1-84f48638978c,2025-06-03 12:34:07.034402,17,935
6749b824-b736-5bef-9d36-9c5dd329afed,2025-06-21 13:13:48.034402,10,940
93ef33c6-d448-5894-a099-26d734e3d2fa,2025-06-16 01:42:04.034402,8,2792
a6becec7-4fe9-59ba-8b1b-e7a23d0bf187,2025-06-13 22:12:31.034402,7,2693
26ae3b59-6f52-5ab2-b4f4-ef2c9087d372,2025-06-16 13:17:18.034402,10,740
ed0c4a35-32ad-50eb-9812-c3e198d5a7cb,2025-06-14 14:37:35.034402,1,499
a7f20581-442c-5a67-93a2-dc3135d5b5d0,2025-05-13 03:04:32.034402,10,1753
d6e53ec8-1964-598c-946f-a581f1d2cce4,2025-05-19 03:27:39.034402,7,1593
b7b3e4c7-8ba2-51df-aad2-edce875963d4,2025-05-26 02:31:33.034402,16,1902
9690673e-6a6c-509c-b055-d29da5f9d89d,2025-06-05 08:08:40.034402,14,2499
4d85bee5-9f48-59b4-9292-7f2c89990517,2025-06-22 08:32:25.034402,18,1929
35404ad9-a84b-5600-ad1d-463015613b0b,2025-05-29 20:53:00.034402,12,2588
c1c0f399-8c0c-54d4-baf7-6c1e29d712ea,2025-06-08 03:04:12.034402,6,286
933194eb-c572-5f5f-b1bd-b7888019c68b,2025-06-05 05:21:16.034402,3,897
b326087b-f43b-5dac-b3cb-ff9a4e4c2290,2025-06-22 14:47:20.034402,12,1922
414a51b3-516e-5a74-a6e4-571af3e5c4e1,2025-05-17 10:36:53.034402,3,60
9e8d3634-3d70-562a-9784-498201274c71,2025-05-21 07:19:26.034402,12,1138
49f23768-7b23-5cfd-b93d-f63ae414e6ea,2025-05-16 18:47:28.034402,1,49
f9e0f664-3536-5160-80a1-a237cce47cf8,2025-06-14 08:13:17.034402,15,3335
4dbd00e1-f930-5ddc-b43d-c27612ee190f,2025-05-13 13:41:06.034402,10,3990
25214473-1105-5cd1-a88e-52acddc23e21,2025-05-17 21:19:42.034402,8,1834
79d3b9f1-0f71-5761-a2c0-cce9be23fe6e,2025-06-07 17:15:26.034402,10,595
26c835d4-6410-5fa1-87ab-c6b268bcef4c,2025-06-22 21:52:30.034402,11,1960
59380b33-1f2c-5095-af1f-028070fdee29,2025-05-24 21:45:04.034402,14,3820
dd878c85-b996-5a2d-9180-06f20d923307,2025-06-19 03:03:09.034402,7,443
a615e714-4d72-51cf-a6fb-a3d16e6ee505,2025-05-23 12:57:55.034402,11,1394
5fd866c0-ee45-554d-aacf-a55d48c33055,2025-05-14 23:34:59.034402,11,2689
73c842f9-cb15-55b2-9c02-361d5a7cec6f,2025-05-20 05:34:26.034402,8,1555
fa55fb7d-8ac2-5866-ae75-d5a1cde8e062,2025-05-06 21:33:44.034402,7,2293
9476be26-70e9-5ed5-a5b3-eb461fd0d178,2025-05-15 22:56:46.034402,18,4545
198b183f-234b-548d-aa0a-504459580ecd,2025-05-20 04:44:28.034402,1,99
367e7a90-eeaa-5ae7-b8d6-30c88aa28f77,2025-06-19 12:30:36.034402,6,1344
17ca44d9-4767-5d4c-8574-eab567aedee3,2025-05-10 18:40:41.034402,2,998
f76f1f7b-d063-5ff4-b126-4d7dd25d04c5,2025-05-19 22:35:29.034402,12,1188
9b7bcdbb-9404-5a06-9b8d-1a3bee3f7f6f,2025-05-30 15:57:38.034402,3,697
15338c97-920c-5747-929f-2bbabeafae88,2025-05-21 19:44:24.034402,11,1789
77e66480-58f1-5cde-92a2-57f764c6092e,2025-06-05 15:32:09.034402,11,894
4e8bbed1-57a9-50d5-8043-36f37c21cb8d,2025-05-15 15:13:00.034402,7,2693
71606d20-937f-5a26-9abb-e33a87ea0d32,2025-05-25 23:05:16.034402,18,3687
4cd82f04-0fac-5058-b21a-535c858430a8,2025-05-31 09:17:56.034402,14,3749
eb43290a-64b1-529e-8320-d866b7783b8e,2025-06-03 13:28:13.034402,14,2878
db25cc82-3a82-5b74-bd1e-fbacbfc774bb,2025-06-11 10:53:36.034402,11,544
f3127efd-2647-5400-b596-832c5342c94c,2025-05-21 02:36:48.034402,1,99
e8dc044a-fd94-5d08-93d3-87af7ff8f62f,2025-05-28 21:14:27.034402,7,1656
080538d9-6679-58ca-8010-04428e32d575,2025-06-08 11:47:20.034402,10,2595
e6e32d5d-9b44-5045-be2a-c3dcaf03babd,2025-05-11 01:29:41.034402,15,2785
8c340060-61ff-5755-be9d-5ef686c9017d,2025-05-21 01:19:11.034402,16,3784
25b9a22c-30c9-5ba7-b2fa-b405e413c316,2025-05-13 04:48:00.034402,2,98
bfbb9441-8683-59d3-963f-445bc2404232,2025-06-09 16:22:51.034402,5,345
69ede146-d479-5d56-aa13-c2bbf52a0ff9,2025-06-13 06:11:32.034402,10,3990
95918d28-cd0a-55e0-8c3c-9beadffdc311,2025-05-17 02:17:00.034402,11,2302
698b5f55-8320-57f5-b2ca-472303a82f76,2025-05-30 12:14:37.034402,5,1495
211ba396-0c32-5775-92ef-3d4be00acb05,2025-06-05 20:15:57.034402,5,495
8824da7c-4e97-5e36-b510-29eeae573040,2025-06-07 16:29:09.034402,19,3515
193e964e-4a9b-534f-92fd-6ec90fdf87ab,2025-05-22 14:25:19.034402,10,2595
d7d857a2-dcd3-5266-ada8-db1892b6be51,2025-06-05 03:41:02.034402,10,595
a5fc5e5c-8114-5622-976a-4e93fab5e3be,2025-06-21 00:17:17.034402,11,3789
1ba60095-79f9-5fb5-899c-43ccb593b9b7,2025-05-16 19:15:34.034402,5,2495
3998df2a-cfee-5e15-82f2-65c917f5fbdc,2025-06-07 21:35:07.034402,15,2685
8e51afb3-f469-5765-92e3-06a013b8aac9,2025-06-09 00:06:20.034402,12,1188
e69db662-7d7f-58e1-a64a-5036a3af6b95,2025-06-05 05:55:41.034402,12,1309
be0784dd-81d2-5db6-944a-27651be222a8,2025-06-13 00:29:01.034402,10,524
dfe3e71e-905b-5743-b639-6b39112b0d10,2025-06-14 08:48:08.034402,15,1919
a96104bd-1f1a-5440-bcf3-ede11622af9b,2025-06-03 06:08:01.034402,13,739
bcfa8d93-2bed-552a-b72f-e323c698f8ad,2025-05-16 21:56:36.034402,1,99
73b592bf-ee0e-59d9-a3e5-dcca370f04d7,2025-05-28 13:12:09.034402,16,2802
a2d7f2ac-2a3e-5b23-b59c-d8d1bb8038b3,2025-06-03 08:00:17.034402,12,3688
ae03c655-435d-586b-a36e-64c93b8ab5ae,2025-05-15 10:02:23.034402,10,479
76d2dee6-b255-519d-8fe8-89577fb79635,2025-05-25 21:47:51.034402,6,2594
9e2212f5-8fab-51f0-8dd1-e48b220b920c,2025-06-13 13:31:08.034402,5,2495
5fde00bd-ba81-55e8-820e-3dd7a228671b,2025-05-12 17:51:16.034402,5,1495
c8c660a2-2dcf-5aa7-9ab4-fa518f6565f9,2025-06-12 14:23:41.034402,11,673
664d53be-6126-511b-83cf-fd75913a81be,2025-06-18 02:07:11.034402,2,998
0b38f060-e61c-55a7-b6ac-a989cb72536c,2025-05-28 20:54:24.034402,17,1183
4853b9dc-c8c0-5e5e-816e-52efc983d682,2025-06-12 11:31:07.034402,2,98
def4fbac-9a87-5aa3-9482-ed00cbc3ea41,2025-05-10 18:37:31.034402,15,4335
a8af3117-8361-5d1e-bcdc-f89ecd144408,2025-05-22 18:27:51.034402,17,1533
d363cafd-9480-5372-b7d4-8bd7759ee3a1,2025-06-09 18:10:14.034402,6,2194
11b1f51c-fcbd-5034-b99f-c5d9c08d79b1,2025-06-17 02:29:08.034402,17,4367
7ff06d7e-eddc-513e-9cb9-7227df27fd93,2025-05-22 19:58:09.034402,9,1575
ffab49bb-1893-5e2f-9147-d6aa9c1cd24c,2025-06-07 02:17:11.034402,14,2736
ef301fd4-cf15-5933-a4ae-b292c00c4ec4,2025-05-08 03:00:17.034402,7,756
f0a2a37b-2011-54b8-933a-8084efe4ff2c,2025-05-15 20:41:55.034402,12,1864
a5dd1b2e-e5b5-5dd9-870a-f48069ed55a5,2025-05-20 07:16:19.034402,7,1177
7722046f-9d63-5d4a-8679-ea19a813ff10,2025-05-25 20:13:44.034402,11,2139
ea9e4384-dc84-5d46-896f-6df93bd0eb65,2025-05-27 05:21:44.034402,9,2891
8de7287a-9ef7-5bc1-bd50-fec033c1e2bc,2025-05-19 21:37:49.034402,6,599
ba64509b-cfbd-5943-88c0-a7ea9d313511,2025-05-31 18:52:00.034402,16,1744
772fb244-383f-5c2f-9c1b-5cce5d96dfd6,2025-06-21 05:06:34.034402,10,740
096dc4cf-a7a0-56c9-925f-7a39f397db81,2025-05-28 16:12:49.034402,6,2994
235981fc-5cbe-506a-beaa-9c43296bbfb7,2025-05-12 21:23:23.034402,2,998
18a3a595-49af-5584-baee-784b88665e98,2025-05-18 00:51:12.034402,3,147
3a2c8d09-990b-5189-b4eb-08fb6ef9002e,2025-05-11 11:42:44.034402,12,938
5506e48a-4b61-5774-821b-19eb0f88142b,2025-05-13 17:07:09.034402,16,1794
664c2587-c037-51ff-80de-8220099cf3b8,2025-05-14 11:46:49.034402,2,598
7733893d-b640-507b-be06-c8031400435a,2025-05-21 13:57:25.034402,14,3628
37196559-3649-53f3-adfe-176b9378a90a,2025-06-01 10:30:31.034402,13,4487
e37b73aa-9fab-5be2-99c3-e2fe2e67d619,2025-06-14 17:11:26.034402,11,3489
26ddfc0f-7c10-596c-923d-be0088c636e5,2025-06-06 13:12:34.034402,4,138
abdee750-a377-591a-baf0-90fce7605acc,2025-06-16 06:42:15.034402,15,3148
66752264-b16b-5566-a735-575d0d350119,2025-05-31 08:46:10.034402,9,691
7c2b7fc1-45c7-5663-b43d-17c572feca18,2025-06-04 09:05:19.034402,13,3529
67a68e31-6b87-5487-89e2-d7118fa83bf8,2025-06-12 10:36:08.034402,12,2709
04969dc1-5950-5413-92e2-4f1d9ff1af57,2025-06-21 06:58:15.034402,5,695
193cc209-38c1-59e5-88df-68dc194f35f0,2025-06-15 06:41:21.034402,1,299
94911f49-e5ba-5600-81ec-52d315adc95a,2025-06-12 15:37:26.034402,18,4866
4b127d8e-a8eb-5710-a857-50931aaba4e6,2025-06-18 03:39:11.034402,17,3483
72eff21e-2458-5ce8-8935-2c81a11cce94,2025-05-21 04:15:28.034402,8,2642
a04ac08b-cdc5-5d0a-a72c-4db8dfc4b7b1,2025-06-02 10:36:41.034402,3,297
03db152a-3877-512a-8657-ec07da18f640,2025-06-07 03:06:47.034402,13,2600
f6259370-5431-573c-8ffc-b45e8b05e60f,2025-06-18 17:11:00.034402,16,4589
910b9d1a-f9a3-542e-b73f-bb71b1529dfe,2025-05-08 08:29:27.034402,20,3664
5bdb04dc-4028-55bb-8b1d-e47fe5e48efb,2025-05-21 16:10:27.034402,10,2911
334f8315-d860-5b37-aef9-82ba5da5bcd6,2025-05-29 10:13:03.034402,13,4687
2f7a9c01-37d2-5ac8-b302-360c64c09a37,2025-05-31 15:42:44.034402,10,1674
8bc25c2b-ebb9-586f-8ece-ff53392c6a83,2025-06-09 08:53:54.034402,7,2693
75f4a365-2375-5a4d-95be-daa7c57c1137,2025-06-19 06:09:16.034402,17,6483
668e10e3-63b7-548f-8b34-ba4aea870d8e,2025-05-28 16:56:29.034402,4,196
b927f006-a6b9-554b-9ca7-0ad8af7987a7,2025-06-01 20:27:15.034402,4,1996
6541a9f1-d865-5a68-963c-5851667075b5,2025-05-28 05:59:11.034402,11,3931
2c773f61-b4be-56df-81e8-c1cb5e78f51a,2025-05-24 03:41:11.034402,5,1495
bf9ce0c3-761f-54d2-aa9d-59b26444caf1,2025-05-30 02:56:20.034402,10,258
3b48da2f-2dd6-57e9-a170-d3439f377185,2025-05-28 15:27:28.034402,9,1933
e5e34ff8-9fe1-59d7-b78f-923fa3a437f7,2025-06-13 07:28:51.034402,12,2309
00faf6a3-8920-52db-9d8f-2dfbd38281d4,2025-05-31 17:29:00.034402,9,1933
09a0d797-5c13-55e5-9619-9a09272c7e3f,2025-06-16 12:22:20.034402,6,294
aea0119b-ae9f-5313-89c8-10962ae24ca4,2025-06-20 00:17:56.034402,5,179
a85690ac-01dd-5f8e-b127-bdffc970dd74,2025-05-21 15:55:32.034402,13,955
b70d14bb-3097-523b-860a-7503a0490260,2025-05-19 01:12:34.034402,12,1222
f726705b-8ced-5ccc-bf86-8ff6fc5c119c,2025-05-16 00:53:18.034402,1,20
551eda73-2795-5cf1-bcda-589310af3599,2025-05-23 05:48:59.034402,17,2283
3fcebc3b-e6f1-51c4-a38c-7a034591d471,2025-06-11 10:15:10.034402,11,4052
cd8b57d2-0611-5f7e-9086-7d23a522ef25,2025-06-13 07:00:12.034402,2,98
afd755f9-d8a1-5b64-8bf9-09a321b4f17d,2025-06-11 07:52:39.034402,1,99
23b84cbc-f045-55f7-86ed-ccf8014d701a,2025-05-21 16:26:12.034402,8,1513
3b8d8da9-f4ad-5b91-8c5a-720fd5dfb6cb,2025-05-29 10:30:39.034402,16,1989
e240811d-d5b9-59d3-ab5c-f71355e1a0cb,2025-06-16 00:17:30.034402,11,2489
8ffc2563-9e5e-51ec-a4a6-1e9982927b5a,2025-05-19 16:29:45.034402,8,2392
3364869f-fd25-59ba-bc3d-edceed13e73e,2025-06-18 03:53:52.034402,9,891
f0fd1160-d359-5440-949d-465a010638b5,2025-05-20 07:09:56.034402,4,1196
7953b302-309b-5d23-a398-6d12f0cc6032,2025-06-10 10:45:01.034402,7,3093
7e86132f-2c58-531e-ae30-acc1d35bba9c,2025-06-14 00:39:27.034402,12,643
37357454-af7f-570c-898b-8c9ab0d08ef4,2025-05-13 18:59:28.034402,4,1996
d2f130c5-b589-542c-be2b-fe49c47d9a19,2025-06-16 01:36:46.034402,6,794
4fe11976-e46a-57d8-80ad-b00b180702a8,2025-05-08 05:16:25.034402,16,3789
cb360c76-b364-57f6-a653-138ac396a2d5,2025-05-10 19:03:49.034402,16,1068
c74b19d0-fc92-509c-a4f4-e6e30f4e24e7,2025-06-08 23:35:44.034402,15,2485
303328e8-d911-5988-aab9-e3891fbea13c,2025-06-10 15:58:30.034402,14,3633
dad98222-61e1-5d41-ac23-4dc2bd3924ab,2025-05-16 02:40:06.034402,18,4582
8593c79d-0332-5e7d-b89a-a4d109b762a7,2025-05-19 13:30:52.034402,7,843
f49aa9ee-7a65-5f25-a73b-06a671e7e63b,2025-05-23 01:37:57.034402,13,1937
d9674d08-4d85-5cf5-8724-1349a2ccf526,2025-06-07 05:16:08.034402,12,751
87e7497d-350b-5f4e-ac06-228d78654f0d,2025-05-12 00:47:06.034402,10,2590
7a367810-0ba9-57f9-8441-25f09b9c15ab,2025-05-31 08:55:56.034402,6,815
650fd852-65a3-5549-82b2-e28d7ef63f5e,2025-05-31 14:10:36.034402,1,20
ced77044-1adb-5ea3-86f2-bab2574d4867,2025-06-12 08:10:07.034402,1,299
